"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-01","2017","01","01","","","M","","M","","M","","M","","M","","M","","M","","M","","","29","","35",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-02","2017","01","02","","-20.0","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-03","2017","01","03","","-15.5","","-28.7","","-22.1","","40.1","","0.0","","","M","","M","1.3","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-04","2017","01","04","","-13.2","","-21.6","","-17.4","","35.4","","0.0","","","M","","M","1.1","","","","33","","37",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-05","2017","01","05","","-10.2","","-18.8","","-14.5","","32.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-06","2017","01","06","","-16.0","","-24.4","","-20.2","","38.2","","0.0","","","M","","M","2.1","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-07","2017","01","07","","-16.5","","-23.5","","-20.0","","38.0","","0.0","","","M","","M","1.3","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-08","2017","01","08","","-19.5","","-24.0","","-21.8","","39.8","","0.0","","","M","","M","1.4","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-09","2017","01","09","","-17.9","","-21.3","","-19.6","","37.6","","0.0","","","M","","M","2.6","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-10","2017","01","10","","-17.9","","-30.3","","-24.1","","42.1","","0.0","","","M","","M","2.3","","","","31","","32",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-11","2017","01","11","","-7.4","","-30.7","","-19.1","","37.1","","0.0","","","M","","M","1.5","","","","31","","76",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-12","2017","01","12","","-22.9","E","-35.1","E","-29.0","E","47.0","E","0.0","E","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-13","2017","01","13","","-7.0","","-24.0","","-15.5","","33.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-14","2017","01","14","","-0.8","","-11.2","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","20","","32",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-15","2017","01","15","","3.8","","-5.8","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-16","2017","01","16","","1.1","","-7.3","","-3.1","","21.1","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-17","2017","01","17","","6.7","","-4.2","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-18","2017","01","18","","4.8","","-5.6","","-0.4","","18.4","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-19","2017","01","19","","0.9","","-8.2","","-3.7","","21.7","","0.0","","","M","","M","1.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-20","2017","01","20","","2.7","","-11.3","","-4.3","","22.3","","0.0","","","M","","M","1.3","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-21","2017","01","21","","0.0","","-14.0","","-7.0","","25.0","","0.0","","","M","","M","1.3","","","","35","","32",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-22","2017","01","22","","-5.7","","-11.7","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-23","2017","01","23","","-11.0","","-13.0","","-12.0","","30.0","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-24","2017","01","24","","-10.2","","-15.3","","-12.8","","30.8","","0.0","","","M","","M","2.1","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-25","2017","01","25","","","M","-14.6","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-26","2017","01","26","","-0.8","","-16.9","","-8.9","","26.9","","0.0","","","M","","M","1.1","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-27","2017","01","27","","2.2","","-5.2","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-28","2017","01","28","","4.2","","-6.3","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-29","2017","01","29","","5.5","","-5.7","","-0.1","","18.1","","0.0","","","M","","M","1.3","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-30","2017","01","30","","1.9","","-5.3","","-1.7","","19.7","","0.0","","","M","","M","1.5","","","","31","","46",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-01-31","2017","01","31","","-5.2","","-19.6","","-12.4","","30.4","","0.0","","","M","","M","1.4","","","","33","","41",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-01","2017","02","01","","-9.8","","-23.1","","-16.5","","34.5","","0.0","","","M","","M","0.0","","","","32","","43",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-02","2017","02","02","","-9.5","","-23.3","","-16.4","","34.4","","0.0","","","M","","M","2.7","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-03","2017","02","03","","-12.5","","-17.2","","-14.9","","32.9","","0.0","","","M","","M","0.6","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-04","2017","02","04","","-14.2","","-24.2","","-19.2","","37.2","","0.0","","","M","","M","0.9","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-05","2017","02","05","","-17.8","","-28.5","","-23.2","","41.2","","0.0","","","M","","M","2.1","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-06","2017","02","06","","-21.2","","-31.6","","-26.4","","44.4","","0.0","","","M","","M","1.9","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-07","2017","02","07","","-18.6","","-29.7","","-24.2","","42.2","","0.0","","","M","","M","1.7","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-08","2017","02","08","","-13.1","","-24.9","","-19.0","","37.0","","0.0","","","M","","M","0.5","","","","24","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-09","2017","02","09","","-12.5","","-23.9","","-18.2","","36.2","","0.0","","","M","","M","1.4","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-10","2017","02","10","","-9.3","","-16.8","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-11","2017","02","11","","-0.6","","-12.5","","-6.6","","24.6","","0.0","","","M","","M","0.7","","","","26","","39",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-12","2017","02","12","","5.2","","-8.7","","-1.8","","19.8","","0.0","","","M","","M","0.0","","","","23","","39",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-13","2017","02","13","","5.2","","-4.6","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","26","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-14","2017","02","14","","9.4","","-4.7","","2.4","","15.6","","0.0","","","M","","M","0.9","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-15","2017","02","15","","8.9","","-4.2","","2.4","","15.6","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-16","2017","02","16","","6.4","","-1.1","","2.7","","15.3","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-17","2017","02","17","","4.0","","-3.1","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","29","","35",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-18","2017","02","18","","2.9","","-7.9","","-2.5","","20.5","","0.0","","","M","","M","1.8","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-19","2017","02","19","","0.4","","-0.3","","0.1","","17.9","","0.0","","","M","","M","6.2","","","","10","","44",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-20","2017","02","20","","","M","-0.5","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-21","2017","02","21","","","M","-3.0","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-22","2017","02","22","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-23","2017","02","23","","-4.6","","-13.2","","-8.9","","26.9","","0.0","","","M","","M","1.6","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-24","2017","02","24","","-8.0","","-22.5","","-15.3","","33.3","","0.0","","","M","","M","2.2","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-25","2017","02","25","","-5.7","","-24.9","","-15.3","","33.3","","0.0","","","M","","M","1.1","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-26","2017","02","26","","-8.0","","-23.9","","-16.0","","34.0","","0.0","","","M","","M","0.4","","","","31","","46",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-27","2017","02","27","","-6.2","","-24.1","","-15.2","","33.2","","0.0","","","M","","M","1.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-02-28","2017","02","28","","","M","-22.2","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-01","2017","03","01","","-15.0","","-20.1","","-17.6","","35.6","","0.0","","","M","","M","1.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-02","2017","03","02","","-5.6","","-23.3","","-14.5","","32.5","","0.0","","","M","","M","1.7","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-03","2017","03","03","","3.5","","-11.2","","-3.9","","21.9","","0.0","","","M","","M","0.0","","","","1","","32",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-04","2017","03","04","","-3.2","","-16.8","","-10.0","","28.0","","0.0","","","M","","M","1.0","","","","1","","48",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-05","2017","03","05","","-14.0","","-19.3","","-16.7","","34.7","","0.0","","","M","","M","1.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-06","2017","03","06","","-11.8","","-15.5","","-13.7","","31.7","","0.0","","","M","","M","3.4","","","","35","","35",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-07","2017","03","07","","-13.0","","-20.3","","-16.7","","34.7","","0.0","","","M","","M","0.4","","","","31","","39",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-08","2017","03","08","","-18.3","","-25.9","","-22.1","","40.1","","0.0","","","M","","M","0.5","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-09","2017","03","09","","-16.0","","-28.6","","-22.3","","40.3","","0.0","","","M","","M","2.0","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-10","2017","03","10","","-15.6","","-24.8","","-20.2","","38.2","","0.0","","","M","","M","1.0","","","","8","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-11","2017","03","11","","-15.8","","-22.2","","-19.0","","37.0","","0.0","","","M","","M","1.8","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-12","2017","03","12","","-12.8","","-17.8","","-15.3","","33.3","","0.0","","","M","","M","0.9","","","","12","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-13","2017","03","13","","-9.6","","-16.4","","-13.0","","31.0","","0.0","","","M","","M","0.0","","","","13","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-14","2017","03","14","","-0.8","","-12.9","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","12","","33",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-15","2017","03","15","","7.0","","-6.8","","0.1","","17.9","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-16","2017","03","16","","6.6","","-0.2","","3.2","","14.8","","0.0","","","M","","M","2.1","","","","33","","35",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-17","2017","03","17","","3.8","","-1.1","","1.4","","16.6","","0.0","","","M","","M","1.5","","","","10","","32",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-18","2017","03","18","","","M","-0.1","E","","M","","M","","M","","M","","M","","M","","","29","","43",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-19","2017","03","19","","","M","-1.1","E","","M","","M","","M","","M","","M","","M","","","28","","57",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-20","2017","03","20","","","M","","M","","M","","M","","M","","M","","M","","M","","","29","","50",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-21","2017","03","21","","-2.1","","-13.2","","-7.7","","25.7","","0.0","","","M","","M","1.5","","","","10","","50",""
"-111.27","54.01","ST. PAUL AGCM","3015676","2017-03-22","2017","03","22","","-2.3","","-6.9","","-4.6","","22.6","","0.0","","","M","","M","25.3","","","","12","","35",""
