"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-01","2016","01","01","","-11.4","","-24.1","","-17.8","","35.8","","0.0","","","M","","M","0.0","","53","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-02","2016","01","02","","-18.0","","-27.5","","-22.8","","40.8","","0.0","","","M","","M","0.0","","52","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-03","2016","01","03","","-18.0","","-28.4","","-23.2","","41.2","","0.0","","","M","","M","0.0","","52","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-04","2016","01","04","","","M","-27.4","E","","M","","M","","M","","M","","M","","M","50","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-05","2016","01","05","","-10.1","","-17.9","","-14.0","","32.0","","0.0","","","M","","M","0.0","","51","","36","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-06","2016","01","06","","-8.4","","-11.0","","-9.7","","27.7","","0.0","","","M","","M","0.0","","51","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-07","2016","01","07","","-10.9","","-22.8","","-16.9","","34.9","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-08","2016","01","08","","-14.8","","-24.8","","-19.8","","37.8","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-09","2016","01","09","","-9.2","","-14.8","","-12.0","","30.0","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-10","2016","01","10","","-5.7","","-9.2","","-7.5","","25.5","","0.0","","","M","","M","0.6","","54","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-11","2016","01","11","","-3.9","","-6.9","","-5.4","","23.4","","0.0","","","M","","M","0.0","","53","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-12","2016","01","12","","-1.2","","-4.9","","-3.1","","21.1","","0.0","","","M","","M","4.8","","52","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-13","2016","01","13","","-1.0","","-4.9","","-3.0","","21.0","","0.0","","","M","","M","0.0","","55","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-14","2016","01","14","","-1.8","","-5.2","","-3.5","","21.5","","0.0","","","M","","M","0.0","","55","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-15","2016","01","15","","-4.4","","-8.7","","-6.6","","24.6","","0.0","","","M","","M","0.4","","55","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-16","2016","01","16","","-4.5","","-9.6","","-7.1","","25.1","","0.0","","","M","","M","0.9","","54","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-17","2016","01","17","","-6.3","","-9.2","","-7.8","","25.8","","0.0","","","M","","M","4.7","","56","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-18","2016","01","18","","-2.6","","-6.5","","-4.6","","22.6","","0.0","","","M","","M","0.2","","61","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-19","2016","01","19","","0.7","","-4.4","","-1.9","","19.9","","0.0","","","M","","M","3.0","","62","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-20","2016","01","20","","-1.3","","-3.5","","-2.4","","20.4","","0.0","","","M","","M","0.0","","62","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-21","2016","01","21","","0.2","","-4.4","","-2.1","","20.1","","0.0","","","M","","M","6.3","","62","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-22","2016","01","22","","0.2","","-1.1","","-0.5","","18.5","","0.0","","","M","","M","5.5","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-23","2016","01","23","","-0.1","","-3.2","","-1.7","","19.7","","0.0","","","M","","M","3.5","","72","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-24","2016","01","24","","-2.8","","-5.1","","-4.0","","22.0","","0.0","","","M","","M","0.0","","70","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-25","2016","01","25","","0.1","","-4.5","","-2.2","","20.2","","0.0","","","M","","M","3.1","","69","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-26","2016","01","26","","4.3","","-1.3","","1.5","","16.5","","0.0","","","M","","M","1.3","","72","","15","","41",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-27","2016","01","27","","2.3","","-1.5","","0.4","","17.6","","0.0","","","M","","M","2.4","","70","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-28","2016","01","28","","5.5","","1.3","","3.4","","14.6","","0.0","","","M","","M","9.7","","66","","22","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-29","2016","01","29","","2.7","","-4.8","","-1.1","","19.1","","0.0","","","M","","M","0.0","","61","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-30","2016","01","30","","-1.8","","-4.4","","-3.1","","21.1","","0.0","","","M","","M","0.6","","60","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-01-31","2016","01","31","","-2.3","","-7.4","","-4.9","","22.9","","0.0","","","M","","M","1.9","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-01","2016","02","01","","-2.8","","-8.6","","-5.7","","23.7","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-02","2016","02","02","","-5.9","","-14.0","","-10.0","","28.0","","0.0","","","M","","M","0.0","","66","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-03","2016","02","03","","-8.7","","-17.0","","-12.9","","30.9","","0.0","","","M","","M","0.5","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-04","2016","02","04","","-0.2","","-12.9","","-6.6","","24.6","","0.0","","","M","","M","2.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-05","2016","02","05","","1.3","","-0.5","","0.4","","17.6","","0.0","","","M","","M","13.5","","68","","16","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-06","2016","02","06","","3.6","","-5.8","","-1.1","","19.1","","0.0","","","M","","M","2.3","","68","","26","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-07","2016","02","07","","-1.3","","-8.9","","-5.1","","23.1","","0.0","","","M","","M","7.1","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-08","2016","02","08","","4.1","","-1.4","","1.4","","16.6","","0.0","","","M","","M","0.6","","75","","17","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-09","2016","02","09","","4.7","","-3.4","","0.7","","17.3","","0.0","","","M","","M","0.0","","70","","16","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-10","2016","02","10","","5.4","","-5.0","","0.2","","17.8","","0.0","","","M","","M","0.0","","69","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-11","2016","02","11","","","M","-2.8","E","","M","","M","","M","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-12","2016","02","12","","1.7","","-1.8","","-0.1","","18.1","","0.0","","","M","","M","1.3","","68","","20","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-13","2016","02","13","","2.8","","-1.6","","0.6","","17.4","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-14","2016","02","14","","4.0","","-0.2","","1.9","","16.1","","0.0","","","M","","M","1.7","","67","","30","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-15","2016","02","15","","3.9","","-0.5","","1.7","","16.3","","0.0","","","M","","M","0.0","","66","","16","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-16","2016","02","16","","3.2","","-1.3","","1.0","","17.0","","0.0","","","M","","M","1.8","","66","","16","","39",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-17","2016","02","17","","","M","-2.0","E","","M","","M","","M","","M","","M","","M","64","","","M","","M"
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-18","2016","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-19","2016","02","19","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-20","2016","02","20","","4.0","","-7.5","","-1.8","","19.8","","0.0","","","M","","M","2.4","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-21","2016","02","21","","-0.9","","-12.2","","-6.6","","24.6","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-22","2016","02","22","","-1.1","","-9.6","","-5.4","","23.4","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-23","2016","02","23","","-0.9","","-16.9","","-8.9","","26.9","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-24","2016","02","24","","2.0","","-13.6","","-5.8","","23.8","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-25","2016","02","25","","5.3","","-3.7","","0.8","","17.2","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-26","2016","02","26","","2.9","","1.0","","2.0","","16.0","","0.0","","","M","","M","1.6","","66","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-27","2016","02","27","","6.3","","-4.1","","1.1","","16.9","","0.0","","","M","","M","0.0","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-28","2016","02","28","","2.1","","-2.3","","-0.1","","18.1","","0.0","","","M","","M","4.3","","64","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-02-29","2016","02","29","","3.6","","-5.9","","-1.2","","19.2","","0.0","","","M","","M","0.7","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-01","2016","03","01","","0.9","","-3.5","","-1.3","","19.3","","0.0","","","M","","M","0.4","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-02","2016","03","02","","1.2","","-2.5","","-0.7","","18.7","","0.0","","","M","","M","0.0","T","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-03","2016","03","03","","0.0","","-3.7","","-1.9","","19.9","","0.0","","","M","","M","2.6","","66","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-04","2016","03","04","","7.4","","-2.3","","2.6","","15.4","","0.0","","","M","","M","0.0","T","70","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-05","2016","03","05","","7.0","","-2.1","","2.5","","15.5","","0.0","","","M","","M","11.8","","66","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-06","2016","03","06","","-1.3","","-5.7","","-3.5","","21.5","","0.0","","","M","","M","1.5","","68","","35","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-07","2016","03","07","","6.1","","-10.2","","-2.1","","20.1","","0.0","","","M","","M","0.0","","69","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-08","2016","03","08","","5.6","","-3.0","","1.3","","16.7","","0.0","","","M","","M","0.0","","69","","16","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-09","2016","03","09","","7.0","","-4.5","","1.3","","16.7","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-10","2016","03","10","","2.3","","-3.6","","-0.7","","18.7","","0.0","","","M","","M","7.2","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-11","2016","03","11","","6.3","","-0.4","","3.0","","15.0","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-12","2016","03","12","","2.5","","-1.0","","0.8","","17.2","","0.0","","","M","","M","5.1","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-13","2016","03","13","","5.6","","-3.0","","1.3","","16.7","","0.0","","","M","","M","0.3","","71","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-14","2016","03","14","","4.8","","-3.4","","0.7","","17.3","","0.0","","","M","","M","0.0","T","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-15","2016","03","15","","6.9","","-5.9","","0.5","","17.5","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-16","2016","03","16","","4.1","","-4.6","","-0.3","","18.3","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-17","2016","03","17","","5.3","","-8.8","","-1.8","","19.8","","0.0","","","M","","M","0.0","","68","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-18","2016","03","18","","5.3","","-11.0","","-2.9","","20.9","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-19","2016","03","19","","7.9","","-6.3","","0.8","","17.2","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-20","2016","03","20","","6.2","","-4.6","","0.8","","17.2","","0.0","","","M","","M","0.0","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-21","2016","03","21","","2.6","","-1.9","","0.4","","17.6","","0.0","","","M","","M","0.0","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-22","2016","03","22","","3.3","","-4.3","","-0.5","","18.5","","0.0","","","M","","M","0.0","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-23","2016","03","23","","2.7","","-0.6","","1.1","","16.9","","0.0","","","M","","M","4.2","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-24","2016","03","24","","6.0","","-0.3","","2.9","","15.1","","0.0","","","M","","M","11.8","","67","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-25","2016","03","25","","8.2","","-5.1","","1.6","","16.4","","0.0","","","M","","M","0.0","","65","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-26","2016","03","26","","7.0","","-2.8","","2.1","","15.9","","0.0","","","M","","M","0.0","","63","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-27","2016","03","27","","6.7","","-2.8","","2.0","","16.0","","0.0","","","M","","M","0.4","","61","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-28","2016","03","28","","9.8","","-5.5","","2.2","","15.8","","0.0","","","M","","M","0.0","","59","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-29","2016","03","29","","7.9","","-4.6","","1.7","","16.3","","0.0","","","M","","M","0.0","","57","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-30","2016","03","30","","14.6","","-3.6","","5.5","","12.5","","0.0","","","M","","M","0.0","T","56","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-03-31","2016","03","31","","15.6","","-3.8","","5.9","","12.1","","0.0","","","M","","M","0.0","","52","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-01","2016","04","01","","15.3","","-4.3","","5.5","","12.5","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-02","2016","04","02","","13.2","","-1.3","","6.0","","12.0","","0.0","","","M","","M","0.0","","46","","24","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-03","2016","04","03","","11.3","","-4.9","","3.2","","14.8","","0.0","","","M","","M","0.0","","42","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-04","2016","04","04","","5.3","","1.4","","3.4","","14.6","","0.0","","","M","","M","4.9","","39","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-05","2016","04","05","","6.0","","0.2","","3.1","","14.9","","0.0","","","M","","M","3.7","","38","","12","","43",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-06","2016","04","06","","10.7","","1.5","","6.1","","11.9","","0.0","","","M","","M","0.0","","34","","27","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-07","2016","04","07","","14.2","","1.9","","8.1","","9.9","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-08","2016","04","08","","16.1","","0.1","","8.1","","9.9","","0.0","","","M","","M","0.0","","24","","30","","50",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-09","2016","04","09","","12.3","","-2.6","","4.9","","13.1","","0.0","","","M","","M","0.0","","18","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-10","2016","04","10","","14.7","","-3.1","","5.8","","12.2","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-11","2016","04","11","","16.5","","-2.7","","6.9","","11.1","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-12","2016","04","12","","7.1","","-0.7","","3.2","","14.8","","0.0","","","M","","M","3.4","","0","T","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-13","2016","04","13","","7.8","","-2.0","","2.9","","15.1","","0.0","","","M","","M","0.8","","0","T","16","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-14","2016","04","14","","11.8","","-4.2","","3.8","","14.2","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-15","2016","04","15","","13.1","","-3.1","","5.0","","13.0","","0.0","","","M","","M","0.0","T","","","27","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-16","2016","04","16","","11.8","","3.1","","7.5","","10.5","","0.0","","","M","","M","0.0","","","","18","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-17","2016","04","17","","17.3","","2.7","","10.0","","8.0","","0.0","","","M","","M","1.6","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-18","2016","04","18","","21.3","","4.3","","12.8","","5.2","","0.0","","","M","","M","0.0","T","","","24","","52",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-19","2016","04","19","","14.7","","-2.0","","6.4","","11.6","","0.0","","","M","","M","0.0","","","","26","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-20","2016","04","20","","17.9","","-1.0","","8.5","","9.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-21","2016","04","21","","17.7","","1.7","","9.7","","8.3","","0.0","","","M","","M","0.0","","","","10","","39",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-22","2016","04","22","","14.1","","6.3","","10.2","","7.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-23","2016","04","23","","7.9","","1.2","","4.6","","13.4","","0.0","","","M","","M","12.9","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-24","2016","04","24","","8.6","","-1.2","","3.7","","14.3","","0.0","","","M","","M","0.2","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-25","2016","04","25","","12.9","","1.2","","7.1","","10.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-26","2016","04","26","","12.1","","-3.2","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-27","2016","04","27","","15.3","","1.5","","8.4","","9.6","","0.0","","","M","","M","0.0","T","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-28","2016","04","28","","17.8","","0.8","","9.3","","8.7","","0.0","","","M","","M","1.2","","","","30","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-29","2016","04","29","","13.2","","2.9","","8.1","","9.9","","0.0","","","M","","M","1.4","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-04-30","2016","04","30","","16.4","","-2.6","","6.9","","11.1","","0.0","","","M","","M","0.0","","","","16","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-01","2016","05","01","","22.1","","6.6","","14.4","","3.6","","0.0","","","M","","M","0.0","","","","17","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-02","2016","05","02","","25.5","","2.9","","14.2","","3.8","","0.0","","","M","","M","0.2","","","","16","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-03","2016","05","03","","23.9","","4.3","","14.1","","3.9","","0.0","","","M","","M","0.7","","","","19","","43",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-04","2016","05","04","","14.0","","7.0","","10.5","","7.5","","0.0","","","M","","M","2.2","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-05","2016","05","05","","18.0","","-2.9","","7.6","","10.4","","0.0","","","M","","M","0.0","","","","21","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-06","2016","05","06","","21.9","","0.8","","11.4","","6.6","","0.0","","","M","","M","0.0","T","","","17","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-07","2016","05","07","","15.9","","7.4","","11.7","","6.3","","0.0","","","M","","M","0.0","T","","","29","","44",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-08","2016","05","08","","14.0","","3.1","","8.6","","9.4","","0.0","","","M","","M","0.5","","","","32","","32",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-09","2016","05","09","","17.1","","1.7","","9.4","","8.6","","0.0","","","M","","M","0.0","T","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-10","2016","05","10","","11.6","","0.9","","6.3","","11.7","","0.0","","","M","","M","5.2","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-11","2016","05","11","","15.6","","6.0","","10.8","","7.2","","0.0","","","M","","M","10.2","","","","2","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-12","2016","05","12","","16.4","","5.1","","10.8","","7.2","","0.0","","","M","","M","0.0","","","","5","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-13","2016","05","13","","19.5","","-1.6","","9.0","","9.0","","0.0","","","M","","M","0.0","","","","11","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-14","2016","05","14","","22.4","","2.1","","12.3","","5.7","","0.0","","","M","","M","0.0","T","","","3","","35",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-15","2016","05","15","","23.3","","4.3","","13.8","","4.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-16","2016","05","16","","20.7","","3.8","","12.3","","5.7","","0.0","","","M","","M","0.0","","","","25","","33",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-17","2016","05","17","","17.8","","6.0","","11.9","","6.1","","0.0","","","M","","M","0.0","","","","17","","37",""
"-123.14","55.31","MACKENZIE AIRPORT AUTO","1184793","2016-05-18","2016","05","18","","16.0","","5.8","","10.9","","7.1","","0.0","","","M","","M","0.0","","","","","","<31",""
