"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.47","53.58","EDSON","3062239","2013-01-01","2013","01","01","","1.4","","-9.5","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-02","2013","01","02","","-1.9","","-12.6","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-03","2013","01","03","","4.1","","-13.2","","-4.6","","22.6","","0.0","","","M","","M","0.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-04","2013","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-01-05","2013","01","05","","-4.2","","-16.5","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-06","2013","01","06","","2.6","","-9.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-07","2013","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-01-08","2013","01","08","","1.1","","-8.1","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-09","2013","01","09","","-3.9","","-7.9","","-5.9","","23.9","","0.0","","","M","","M","","M","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-10","2013","01","10","","-7.5","","-15.5","","-11.5","","29.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-11","2013","01","11","","-10.2","","-24.5","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-12","2013","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-01-13","2013","01","13","","-6.1","","-15.1","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-14","2013","01","14","","3.4","","-11.6","","-4.1","","22.1","","0.0","","","M","","M","1.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-15","2013","01","15","","10.5","","3.5","","7.0","","11.0","","0.0","","","M","","M","","M","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-16","2013","01","16","","9.1","","-1.4","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-17","2013","01","17","","9.2","","-2.6","","3.3","","14.7","","0.0","","","M","","M","2.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-18","2013","01","18","","7.7","","-7.4","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-19","2013","01","19","","-4.5","","-14.7","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-20","2013","01","20","","-13.2","","-16.4","","-14.8","","32.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-21","2013","01","21","","-6.1","","-13.6","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-22","2013","01","22","","-6.7","","-13.4","","-10.1","","28.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-23","2013","01","23","","-9.9","","-12.4","","-11.2","","29.2","","0.0","","","M","","M","","M","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-24","2013","01","24","","3.3","","-12.7","","-4.7","","22.7","","0.0","","","M","","M","0.8","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-25","2013","01","25","","5.1","","-12.1","","-3.5","","21.5","","0.0","","","M","","M","0.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-26","2013","01","26","","1.3","","-17.7","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-27","2013","01","27","","1.4","","-12.6","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-28","2013","01","28","","-7.2","","-19.6","","-13.4","","31.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-29","2013","01","29","","-19.3","","-27.9","","-23.6","","41.6","","0.0","","","M","","M","0.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-30","2013","01","30","","-16.1","","-19.4","","-17.8","","35.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-01-31","2013","01","31","","0.0","","-16.2","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-01","2013","02","01","","4.6","","-4.7","","-0.1","","18.1","","0.0","","","M","","M","7.8","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-02","2013","02","02","","9.1","","-2.9","","3.1","","14.9","","0.0","","","M","","M","2.5","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-03","2013","02","03","","6.9","","-2.9","","2.0","","16.0","","0.0","","","M","","M","0.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-04","2013","02","04","","3.9","","-8.5","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-05","2013","02","05","","-3.9","","-14.3","","-9.1","","27.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-06","2013","02","06","","-0.2","","-11.5","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-07","2013","02","07","","-1.3","","-16.8","","-9.1","","27.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-08","2013","02","08","","6.7","","-10.5","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-09","2013","02","09","","3.8","","-5.6","","-0.9","","18.9","","0.0","","","M","","M","0.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-10","2013","02","10","","4.5","","-12.5","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-11","2013","02","11","","6.9","","-6.1","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-12","2013","02","12","","3.8","","-7.5","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-13","2013","02","13","","","M","-2.4","E","","M","","M","","M","","M","","","","M","","","","M","","M"
"-116.47","53.58","EDSON","3062239","2013-02-14","2013","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-02-15","2013","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-02-16","2013","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-02-17","2013","02","17","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-18","2013","02","18","","-4.1","","-11.8","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-19","2013","02","19","","-3.9","","-7.2","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-20","2013","02","20","","0.7","","-14.6","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-21","2013","02","21","","3.4","","-11.5","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-22","2013","02","22","","0.3","","-14.5","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-23","2013","02","23","","3.3","","-12.5","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-24","2013","02","24","","8.1","","-12.7","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-25","2013","02","25","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-26","2013","02","26","","0.2","","-9.0","","-4.4","","22.4","","0.0","","","M","","M","3.8","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-27","2013","02","27","","5.0","","-9.1","","-2.1","","20.1","","0.0","","","M","","M","0.8","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-02-28","2013","02","28","","6.5","","-8.5","","-1.0","","19.0","","0.0","","","M","","M","0.5","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-01","2013","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-02","2013","03","02","","1.5","","-0.7","","0.4","","17.6","","0.0","","","M","","M","4.6","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-03","2013","03","03","","0.2","","-5.8","","-2.8","","20.8","","0.0","","","M","","M","3.3","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-04","2013","03","04","","-2.5","","-12.5","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-05","2013","03","05","","-3.3","","-18.4","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-06","2013","03","06","","-3.7","","-18.9","","-11.3","","29.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-07","2013","03","07","","-5.9","","-11.6","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-08","2013","03","08","","5.6","","-12.0","","-3.2","","21.2","","0.0","","","M","","M","0.8","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-09","2013","03","09","","8.0","","-11.6","","-1.8","","19.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-10","2013","03","10","","5.5","","-7.1","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-11","2013","03","11","","2.2","","-7.1","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-12","2013","03","12","","2.8","","-14.9","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-13","2013","03","13","","-2.5","","-11.6","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-14","2013","03","14","","-11.6","","-17.2","","-14.4","","32.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-15","2013","03","15","","-10.3","","-19.7","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-16","2013","03","16","","-10.5","","-15.7","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-17","2013","03","17","","-8.1","","-14.7","","-11.4","","29.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-18","2013","03","18","","-4.9","","-17.3","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-19","2013","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-20","2013","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-21","2013","03","21","","-3.6","","-9.4","","-6.5","","24.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-22","2013","03","22","","-3.0","","-19.2","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-23","2013","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-24","2013","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-25","2013","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-26","2013","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-116.47","53.58","EDSON","3062239","2013-03-27","2013","03","27","","11.2","","-4.8","","3.2","","14.8","","0.0","","","M","","M","","M","","","","","<31",""
"-116.47","53.58","EDSON","3062239","2013-03-28","2013","03","28","","12.5","","-7.5","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","","","<31",""
