"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-01","2018","01","01","","-1.9","","-27.7","","-14.8","","32.8","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-02","2018","01","02","","4.3","","-7.1","","-1.4","","19.4","","0.0","","","M","","M","0.5","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-03","2018","01","03","","4.2","","-9.0","","-2.4","","20.4","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-04","2018","01","04","","2.5","","-8.1","","-2.8","","20.8","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-05","2018","01","05","","2.0","","-12.8","","-5.4","","23.4","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-06","2018","01","06","","3.2","","-5.8","","-1.3","","19.3","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-07","2018","01","07","","-0.1","","-6.9","","-3.5","","21.5","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-08","2018","01","08","","-0.7","","-5.4","","-3.1","","21.1","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-09","2018","01","09","","-4.1","","-22.7","","-13.4","","31.4","","0.0","","","M","","M","0.5","","10","","33","","41",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-10","2018","01","10","","-22.2","E","","M","","M","","M","","M","","M","","M","","M","12","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-11","2018","01","11","","-20.2","","-31.1","","-25.7","","43.7","","0.0","","","M","","M","0.2","","12","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-12","2018","01","12","","-18.6","","-31.8","","-25.2","","43.2","","0.0","","","M","","M","0.7","","12","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-13","2018","01","13","","3.2","","-20.3","","-8.6","","26.6","","0.0","","","M","","M","0.2","","12","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-14","2018","01","14","","-0.1","","-8.1","","-4.1","","22.1","","0.0","","","M","","M","1.9","","12","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-15","2018","01","15","","-3.0","","-11.7","","-7.4","","25.4","","0.0","","","M","","M","0.2","","14","","15","","33",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-16","2018","01","16","","6.3","","-13.5","","-3.6","","21.6","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-17","2018","01","17","","5.9","","-2.4","","1.8","","16.2","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-18","2018","01","18","","","M","-2.1","E","","M","","M","","M","","M","","M","","M","13","","25","","46",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-19","2018","01","19","","3.7","","-6.4","","-1.4","","19.4","","0.0","","","M","","M","0.2","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-20","2018","01","20","","1.5","","-11.5","","-5.0","","23.0","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-21","2018","01","21","","-7.5","","-14.0","","-10.8","","28.8","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-22","2018","01","22","","1.1","","-11.7","","-5.3","","23.3","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-23","2018","01","23","","0.5","","-11.6","","-5.6","","23.6","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-24","2018","01","24","","-5.9","","-13.9","","-9.9","","27.9","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-25","2018","01","25","","-8.6","","-11.7","","-10.2","","28.2","","0.0","","","M","","M","4.5","","11","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-26","2018","01","26","","-11.7","","-21.7","","-16.7","","34.7","","0.0","","","M","","M","0.2","","17","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-27","2018","01","27","","-16.4","","-23.2","","-19.8","","37.8","","0.0","","","M","","M","2.2","","16","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-28","2018","01","28","","-14.8","","-25.8","","-20.3","","38.3","","0.0","","","M","","M","1.0","","19","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-29","2018","01","29","","-5.2","","-16.0","","-10.6","","28.6","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-30","2018","01","30","","-4.0","","-14.3","","-9.2","","27.2","","0.0","","","M","","M","0.0","","18","","35","","52",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-01-31","2018","01","31","","-14.3","","-21.7","","-18.0","","36.0","","0.0","","","M","","M","4.0","","20","","","","<31",""
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-02-01","2018","02","01","","","M","-23.8","E","","M","","M","","M","","M","","M","","M","22","","","M","","M"
"-115.13","53.14","VIOLET GROVE CS","3016860","2018-02-02","2018","02","02","","","","","","","","","","","","","","","","","","","","","","",""
