"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.28","56.55","RED EARTH","3075488","2013-01-01","2013","01","01","","","M","","M","","M","","M","","M","","M","","M","0.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-02","2013","01","02","","","M","-14.8","E","","M","","M","","M","","M","","M","1.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-03","2013","01","03","","2.4","","-9.1","E","-3.4","E","21.4","E","0.0","E","","M","","M","1.1","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-04","2013","01","04","","-3.2","E","-16.3","E","-9.8","E","27.8","E","0.0","E","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-05","2013","01","05","","","M","","M","","M","","M","","M","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-06","2013","01","06","","-2.3","E","-9.0","E","-5.7","E","23.7","E","0.0","E","","M","","M","1.8","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-07","2013","01","07","","-3.0","","","M","","M","","M","","M","","M","","M","1.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-08","2013","01","08","","-5.4","","-10.2","E","-7.8","E","25.8","E","0.0","E","","M","","M","1.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-09","2013","01","09","","","M","-17.4","E","","M","","M","","M","","M","","M","0.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-10","2013","01","10","","-14.9","","-25.8","","-20.4","","38.4","","0.0","","","M","","M","1.5","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-11","2013","01","11","","-14.4","","-25.0","","-19.7","","37.7","","0.0","","","M","","M","1.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-12","2013","01","12","","-14.3","","-27.3","","-20.8","","38.8","","0.0","","","M","","M","0.8","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-13","2013","01","13","","","M","-23.5","E","","M","","M","","M","","M","","M","1.5","","","","","M","","M"
"-115.28","56.55","RED EARTH","3075488","2013-01-14","2013","01","14","","-3.4","E","","M","","M","","M","","M","","M","","M","2.6","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-15","2013","01","15","","6.4","","-8.2","","-0.9","","18.9","","0.0","","","M","","M","3.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-16","2013","01","16","","-8.2","","-13.6","","-10.9","","28.9","","0.0","","","M","","M","0.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-17","2013","01","17","","-9.1","","-12.6","","-10.9","","28.9","","0.0","","","M","","M","5.9","","","","13","","33",""
"-115.28","56.55","RED EARTH","3075488","2013-01-18","2013","01","18","","-10.8","E","-13.5","E","-12.2","E","30.2","E","0.0","E","","M","","M","2.0","","","","","M","","M"
"-115.28","56.55","RED EARTH","3075488","2013-01-19","2013","01","19","","-20.2","E","","M","","M","","M","","M","","M","","M","0.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-20","2013","01","20","","-20.4","","-34.5","","-27.5","","45.5","","0.0","","","M","","M","0.3","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-21","2013","01","21","","-14.9","","-20.6","","-17.8","","35.8","","0.0","","","M","","M","1.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-22","2013","01","22","","-14.4","","-26.4","","-20.4","","38.4","","0.0","","","M","","M","0.9","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-23","2013","01","23","","-14.4","","-29.7","","-22.1","","40.1","","0.0","","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-24","2013","01","24","","-7.9","","-15.9","","-11.9","","29.9","","0.0","","","M","","M","4.0","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-25","2013","01","25","","1.3","","-15.2","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-26","2013","01","26","","-0.7","","-19.5","","-10.1","","28.1","","0.0","","","M","","M","0.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-27","2013","01","27","","-13.1","","-18.4","","-15.8","","33.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-28","2013","01","28","","-15.7","","-28.9","","-22.3","","40.3","","0.0","","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-29","2013","01","29","","-26.6","","-37.5","","-32.1","","50.1","","0.0","","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-30","2013","01","30","","-22.0","","-33.0","","-27.5","","45.5","","0.0","","","M","","M","0.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-01-31","2013","01","31","","-14.5","","-26.6","","-20.6","","38.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-01","2013","02","01","","-1.5","","-18.3","","-9.9","","27.9","","0.0","","","M","","M","1.4","","","","34","","46",""
"-115.28","56.55","RED EARTH","3075488","2013-02-02","2013","02","02","","-9.6","","-21.0","","-15.3","","33.3","","0.0","","","M","","M","5.3","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-03","2013","02","03","","-10.8","","-16.9","","-13.9","","31.9","","0.0","","","M","","M","1.6","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-04","2013","02","04","","-0.1","","-10.9","","-5.5","","23.5","","0.0","","","M","","M","1.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-05","2013","02","05","","","M","-18.6","E","","M","","M","","M","","M","","M","0.6","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-06","2013","02","06","","-8.4","","-16.0","","-12.2","","30.2","","0.0","","","M","","M","0.8","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-07","2013","02","07","","-5.2","","-14.1","","-9.7","","27.7","","0.0","","","M","","M","1.1","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-08","2013","02","08","","","M","-14.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-115.28","56.55","RED EARTH","3075488","2013-02-09","2013","02","09","","-0.1","E","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-10","2013","02","10","","","M","-19.8","E","","M","","M","","M","","M","","M","0.4","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-11","2013","02","11","","6.2","","-1.4","","2.4","","15.6","","0.0","","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-12","2013","02","12","","","M","-2.8","E","","M","","M","","M","","M","","M","1.2","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-13","2013","02","13","","","M","-3.2","E","","M","","M","","M","","M","","M","4.1","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-14","2013","02","14","","-3.4","","-22.7","","-13.1","","31.1","","0.0","","","M","","M","0.3","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-15","2013","02","15","","6.3","","-12.9","","-3.3","","21.3","","0.0","","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-16","2013","02","16","","5.4","","-1.3","","2.1","","15.9","","0.0","","","M","","M","2.1","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-17","2013","02","17","","0.1","","-16.6","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","33","","32",""
"-115.28","56.55","RED EARTH","3075488","2013-02-18","2013","02","18","","-3.8","","-15.5","","-9.7","","27.7","","0.0","","","M","","M","0.2","","","","16","","37",""
"-115.28","56.55","RED EARTH","3075488","2013-02-19","2013","02","19","","-5.5","","-11.9","","-8.7","","26.7","","0.0","","","M","","M","1.7","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-20","2013","02","20","","-4.7","","-15.1","E","-9.9","E","27.9","E","0.0","E","","M","","M","0.5","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-21","2013","02","21","","2.5","","-6.2","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","17","","32",""
"-115.28","56.55","RED EARTH","3075488","2013-02-22","2013","02","22","","-0.6","","-9.2","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","14","","32",""
"-115.28","56.55","RED EARTH","3075488","2013-02-23","2013","02","23","","-4.0","","-16.3","","-10.2","","28.2","","0.0","","","M","","M","1.4","","","","27","","35",""
"-115.28","56.55","RED EARTH","3075488","2013-02-24","2013","02","24","","1.5","","-18.0","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-25","2013","02","25","","","M","-18.5","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-26","2013","02","26","","3.7","","-17.1","","-6.7","","24.7","","0.0","","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-02-27","2013","02","27","","","M","-16.8","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-115.28","56.55","RED EARTH","3075488","2013-02-28","2013","02","28","","5.9","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-115.28","56.55","RED EARTH","3075488","2013-03-01","2013","03","01","","6.7","E","-2.4","E","2.2","E","15.8","E","0.0","E","","M","","M","","M","","","","","<31",""
